,group,names,scores,logfoldchanges,pvals,pvals_adj
0,trypomast_4,C4B63_29g211,35.210392,1.6974272,1.3864922082433892e-271,2.1242447122496964e-267
1,trypomast_4,C4B63_47g92,31.400278,2.254218,2.005821042296318e-216,3.0731184189021884e-212
2,trypomast_4,C4B63_158g42,29.437403,2.33638,1.8250924952282177e-190,2.7962242119391525e-186
3,trypomast_4,C4B63_22g135,24.99137,1.7360014,7.587915604321558e-138,1.1625445497381058e-133
4,trypomast_4,C4B63_16g33,23.412577,1.5315181,3.1821677023229252e-121,4.8753991367289535e-117
5,trypomast_4,C4B63_33g179,23.135334,1.5674295,2.042503477242259e-118,3.129319577482865e-114
6,trypomast_4,C4B63_77g67,22.664831,1.3684621,9.962869987102336e-114,1.5264113107239488e-109
7,trypomast_4,C4B63_419g2,21.238012,2.4436877,4.255224550694505e-100,6.519429534119051e-96
8,trypomast_4,C4B63_68g91,20.677238,1.4467435,5.553073968677836e-95,8.507864627411313e-91
9,trypomast_4,C4B63_12g242,19.458347,1.2456317,2.4763821136442656e-84,3.79406503631438e-80
10,trypomast_4,C4B63_13g14,19.06194,0.81581247,5.22993038672822e-81,8.012776345506306e-77
11,trypomast_4,C4B63_56g144,16.284615,1.2152759,1.269274526285711e-59,1.944655501722338e-55
12,trypomast_4,C4B63_23g10,15.859075,2.7054262,1.2167275506778832e-56,1.8641482803935847e-52
13,trypomast_4,C4B63_33g156,15.800529,1.5276304,3.085186523868079e-56,4.7268142732182844e-52
14,trypomast_4,C4B63_24g199,15.544579,1.7759377,1.7315693689785307e-54,2.652937430212007e-50
15,trypomast_4,C4B63_6g311,14.726921,0.9522848,4.329891601619723e-49,6.633826922841577e-45
16,trypomast_4,C4B63_16g183,14.347234,0.74793583,1.1087264871399543e-46,1.698679850947124e-42
17,trypomast_4,C4B63_16g157,12.501614,1.0346156,7.31512379147242e-36,1.1207501160914895e-31
18,trypomast_4,C4B63_201g18,12.336718,1.0713539,5.745058339624973e-35,8.80200388213942e-31
19,trypomast_4,C4B63_109g65,12.325185,0.6793688,6.629166967712143e-35,1.0156546711231774e-30
20,trypomast_4,C4B63_47g160,11.908426,1.156931,1.0697749183131834e-32,1.6390021523476281e-28
21,trypomast_4,C4B63_68g79,11.819028,1.3876945,3.112642676093742e-32,4.7688798440432225e-28
22,trypomast_4,C4B63_158g35,11.029401,0.5478905,2.7569642829128674e-28,4.223944977850804e-24
25,trypomast_4,C4B63_23g158,10.690582,1.4997368,1.1266099385934057e-26,1.726079086918957e-22
26,trypomast_4,C4B63_145g8,10.465632,0.7491038,1.2424417234470956e-25,1.903544964493295e-21
28,trypomast_4,C4B63_10g318,10.038535,0.8570477,1.0319548784966695e-23,1.5810580693447473e-19
29,trypomast_4,C4B63_156g20,9.910731,2.7880561,3.7389892216331346e-23,5.728505386464125e-19
30,trypomast_4,C4B63_40g138,9.888239,0.5826027,4.6819329490704266e-23,7.173189471270801e-19
32,trypomast_4,C4B63_51g234,9.463241,0.604838,2.9854436447844945e-21,4.573998208174324e-17
33,trypomast_4,C4B63_6g132,9.13154,1.6423401,6.753151011744311e-20,1.034650266509346e-15
34,trypomast_4,C4B63_303g6,8.931392,1.4043368,4.2068275457302777e-19,6.4452804828133584e-15
35,trypomast_4,C4B63_6g274,8.651315,1.1906526,5.0909390637249996e-18,7.799827739533072e-14
36,trypomast_4,C4B63_133g58,8.499886,1.8470118,1.8977723894223596e-17,2.907577077833997e-13
37,trypomast_4,C4B63_166g26,8.334607,1.3532196,7.775571536871435e-17,1.1912953151640726e-12
38,trypomast_4,C4B63_279g11,8.035584,1.0943413,9.31341915399544e-16,1.4269089485836413e-11
39,trypomast_4,C4B63_568g1,7.97299,1.8655871,1.548806718777231e-15,2.3729267738385955e-11
40,trypomast_4,C4B63_34g364,7.9611106,0.82260007,1.7050205899426547e-15,2.6122620458511412e-11
41,trypomast_4,C4B63_86g95,7.939491,1.6705018,2.0301321724605677e-15,3.110365501426836e-11
42,trypomast_4,C4B63_8g82,7.816348,0.9487332,5.437788296762631e-15,8.331235449470026e-11
43,trypomast_4,C4B63_16g295,7.7859693,1.1222423,6.918082141960275e-15,1.0599193649697338e-10
44,trypomast_4,C4B63_7g98,7.6746125,1.0552986,1.6591964403655065e-14,2.542054866283993e-10
45,trypomast_4,C4B63_429g3,7.551311,0.84891325,4.3089835587819224e-14,6.601793710409783e-10
46,trypomast_4,C4B63_455g9,7.463876,1.1756326,8.401387951703831e-14,1.287176648080544e-09
47,trypomast_4,C4B63_18g210,6.9825535,0.69729227,2.8986228049200323e-12,4.440979999417981e-08
50,trypomast_4,C4B63_39g128,6.4675555,0.84914666,9.960103000522627e-11,1.5259873807100716e-06
51,trypomast_4,C4B63_30g264,6.415376,0.66738564,1.404754540656064e-10,2.152224431739156e-06
52,trypomast_4,C4B63_18g152,6.3011985,0.50159913,2.9535305844721557e-10,4.52510420846979e-06
53,trypomast_4,C4B63_38g70,6.270051,0.9371148,3.6092965283814246e-10,5.5298032111331806e-06
54,trypomast_4,C4B63_75g72,6.2006207,0.80628556,5.624086101467733e-10,8.616662316058714e-06
55,trypomast_4,C4B63_13g223,6.1566234,0.9585333,7.431219997273508e-10,1.1385372157822741e-05
59,trypomast_4,C4B63_183g12,6.035916,0.97379535,1.5806340282283726e-09,2.4216893946486897e-05
60,trypomast_4,C4B63_85g50,5.9639063,0.5690785,2.462778056882798e-09,3.773222260950135e-05
61,trypomast_4,C4B63_72g97,5.7430253,0.5453284,9.299976217580633e-09,0.00014248493562955288
62,trypomast_4,C4B63_156g18,5.722322,1.3221902,1.0507798745519254e-08,0.00016098998458010047
63,trypomast_4,C4B63_16g147,5.6776285,0.65721685,1.3657503791715225e-08,0.00020924661559286895
65,trypomast_4,C4B63_21g165,5.633335,0.86004716,1.7675735043865656e-08,0.0002708099366070657
69,trypomast_4,C4B63_47g122,5.4832373,1.4370384,4.176121493823585e-08,0.0006398235740687115
70,trypomast_4,C4B63_34g216,5.4483275,1.5906999,5.084569955827358e-08,0.0007790069629323096
72,trypomast_4,C4B63_49g210,5.3028255,1.2397661,1.1402394245927076e-07,0.0017469608224184874
73,trypomast_4,C4B63_41g154,5.2272806,0.7959896,1.7202148416243168e-07,0.002635541158852616
75,trypomast_4,C4B63_6g525,5.034397,1.4355018,4.79354427171087e-07,0.007344189178688223
76,trypomast_4,C4B63_94g80,4.927171,1.5415906,8.342867197750484e-07,0.012782106833673517
77,trypomast_4,C4B63_207g22,4.9180408,0.98968387,8.741481749249274e-07,0.013392824188024814
78,trypomast_4,C4B63_124g40,4.9142885,1.3590932,8.910536203890591e-07,0.013651832517980774
79,trypomast_4,C4B63_187g27,4.859988,0.62407714,1.173926471442805e-06,0.017985727468975216
80,trypomast_4,C4B63_77g40,4.8028092,1.8441184,1.5645492527971657e-06,0.023970459102105376
81,trypomast_4,C4B63_94g87,4.8024917,0.9825798,1.567032568000291e-06,0.024008505974332458
82,trypomast_4,C4B63_58g126,4.801395,0.5840525,1.5756404811871653e-06,0.024140387812268557
83,trypomast_4,C4B63_74g4,4.7963266,1.0595685,1.6160177552059959e-06,0.024759008027511062
85,trypomast_4,C4B63_28g340,4.7435484,0.92126256,2.100065658307017e-06,0.03217510595092181
87,trypomast_4,C4B63_191g13,4.6967807,0.80664575,2.642939133912888e-06,0.04049247047067936
88,trypomast_4,C4B63_22g78,4.6838803,0.809162,2.8149451068775497e-06,0.04312777398247094
89,trypomast_4,C4B63_76g22,4.6606946,0.7548325,3.1514383077967363e-06,0.0482831863137538
0,trypomast_0,C4B63_331g11,53.488926,3.6186235,0.0,0.0
1,trypomast_0,C4B63_2g163c,35.69686,1.8914332,4.4221803120377494e-279,6.775222456073036e-275
2,trypomast_0,C4B63_57g87,32.512486,2.6276822,7.103078477315436e-232,1.088262653509498e-227
3,trypomast_0,C4B63_28g106,31.730593,1.4031872,5.882594675019285e-221,9.012723301597046e-217
4,trypomast_0,C4B63_47g72,30.329596,1.4934493,4.6693242475551505e-202,7.153871679679246e-198
5,trypomast_0,C4B63_42g129,30.127773,1.6551222,2.0975076941474887e-199,3.2135915382033673e-195
6,trypomast_0,C4B63_19g183,29.799402,1.6320707,3.976908102138272e-195,6.093020903286047e-191
7,trypomast_0,C4B63_160g34,28.271605,1.4458618,7.723496368724329e-176,1.1833168786522543e-171
8,trypomast_0,C4B63_6g542,28.0098,1.7449517,1.2343869728467292e-172,1.8912042810984738e-168
9,trypomast_0,C4B63_30g190,27.426836,1.8198502,1.3128937220467796e-165,2.011484471547871e-161
10,trypomast_0,C4B63_278g6,27.403452,1.4205016,2.494673660181631e-165,3.822089514764277e-161
11,trypomast_0,C4B63_4g486,26.153091,1.6238906,9.088958902201485e-151,1.3925193934062895e-146
12,trypomast_0,C4B63_2g223,25.440742,1.9418819,8.937709841499361e-143,1.369346524816117e-138
13,trypomast_0,C4B63_43g163,24.421356,1.5541437,1.0145071736174082e-131,1.554326440699231e-127
14,trypomast_0,C4B63_6g2375c,23.884443,1.7868183,4.4444654642361104e-126,6.809365537756145e-122
15,trypomast_0,C4B63_101g5,23.818851,1.8510951,2.1303554975430585e-125,3.26391765778572e-121
16,trypomast_0,C4B63_2g166c,23.126102,1.5920992,2.52971897513092e-118,3.8757824417980824e-114
17,trypomast_0,C4B63_133g46,22.488894,1.5149281,5.331318471243151e-112,8.168113029791632e-108
18,trypomast_0,C4B63_83g62,22.211582,1.5460979,2.6541950705509493e-109,4.066492267591109e-105
19,trypomast_0,C4B63_18g326,21.091993,1.2678213,9.420601139032475e-99,1.4433303005111656e-94
20,trypomast_0,C4B63_54g29,20.887196,1.409848,7.001216816722375e-97,1.072656428490035e-92
21,trypomast_0,C4B63_51g126,20.678308,1.4343785,5.431119220546181e-95,8.321017757798804e-91
22,trypomast_0,C4B63_401g2,20.58156,2.0394182,4.0155483891957197e-94,6.152221687086762e-90
23,trypomast_0,C4B63_54g138,20.252485,1.1112921,3.3776228459708915e-91,5.174855962312003e-87
24,trypomast_0,C4B63_57g98,20.208117,1.1150539,8.305764785306232e-91,1.2725262227567678e-86
25,trypomast_0,C4B63_147g63,20.187809,1.1270295,1.252973369012864e-90,1.919680498664609e-86
26,trypomast_0,C4B63_13g195,20.150345,1.5250491,2.672417226381084e-90,4.094410432538459e-86
28,trypomast_0,C4B63_32g217,20.022787,1.3599505,3.486587141075594e-89,5.341800158841918e-85
29,trypomast_0,C4B63_32g211,19.695438,1.1927032,2.3594840501426184e-86,3.614965513223506e-82
30,trypomast_0,C4B63_81g66,19.640438,1.8223921,6.979418110933249e-86,1.069316648776083e-81
31,trypomast_0,C4B63_13g236,19.231869,1.7006742,2.0028116239594948e-82,3.068507689068342e-78
32,trypomast_0,C4B63_2g11,19.13839,1.2841102,1.209491551394979e-81,1.8530620058922474e-77
33,trypomast_0,C4B63_13g270,18.75486,1.2935107,1.7667941097992064e-78,2.706905255623364e-74
34,trypomast_0,C4B63_12g221,18.663269,1.1998144,9.851473329902703e-78,1.509344228874393e-73
35,trypomast_0,C4B63_6g220,18.450891,1.238294,5.1291886969636896e-76,7.858430002618069e-72
36,trypomast_0,C4B63_13g1488c,18.351822,1.2958896,3.192263520486086e-75,4.890866939736733e-71
37,trypomast_0,C4B63_56g77,18.347626,1.271016,3.4485179816633816e-75,5.283474399706467e-71
38,trypomast_0,C4B63_23g196,18.137623,1.167193,1.60841393307628e-73,2.4642509868661684e-69
39,trypomast_0,C4B63_2g517,18.07206,1.1810033,5.290198709952734e-73,8.105113443518584e-69
40,trypomast_0,C4B63_54g11,17.994848,1.3215731,2.1381040241187645e-72,3.2757891753523593e-68
41,trypomast_0,C4B63_13g1491c,17.612837,1.4515151,1.9635362936647774e-69,3.0083339555238054e-65
42,trypomast_0,C4B63_60g164,17.47018,1.406898,2.4172666872941025e-68,3.703494291603294e-64
43,trypomast_0,C4B63_7g103,16.858599,1.1264642,9.071430330963492e-64,1.3898338410069166e-59
44,trypomast_0,C4B63_298g11,16.837027,1.7476517,1.3063976054818917e-63,2.0015317713588065e-59
45,trypomast_0,C4B63_8g2554c,16.72187,1.4831017,9.082365598714861e-63,1.3915092333791038e-58
46,trypomast_0,C4B63_28g30,16.709728,1.2427701,1.1134342907592004e-62,1.705892676872171e-58
47,trypomast_0,C4B63_2g518,16.632992,1.189558,4.020090033776069e-62,6.159179940748316e-58
48,trypomast_0,C4B63_18g233,16.583096,1.1194466,9.234577401198129e-62,1.4148296036375652e-57
49,trypomast_0,C4B63_63g143,16.50263,1.1839789,3.512511265797868e-61,5.381518510328913e-57
50,trypomast_0,C4B63_4g267,16.485126,1.276661,4.6930758879848074e-61,7.190261567981523e-57
51,trypomast_0,C4B63_12g1688c,16.393648,1.1165506,2.1231325943391912e-60,3.252851447787075e-56
52,trypomast_0,C4B63_38g87,16.380707,1.1639714,2.6267024409731735e-60,4.024370809814999e-56
53,trypomast_0,C4B63_85g44,16.312168,1.2075462,8.087043241035795e-60,1.2390158949590941e-55
54,trypomast_0,C4B63_23g89c,16.087023,1.651617,3.1460478347040207e-58,4.82005988755003e-54
55,trypomast_0,C4B63_17g52,16.082247,0.9391079,3.398273749456723e-58,5.206495211542646e-54
56,trypomast_0,C4B63_2g425,16.06461,1.048137,4.516990531380743e-58,6.920481193128436e-54
57,trypomast_0,C4B63_54g49,15.951947,1.4803818,2.761519957623107e-57,4.230924727074362e-53
58,trypomast_0,C4B63_7g233,15.8062935,1.121023,2.815518729092886e-56,4.3136562448432106e-52
59,trypomast_0,C4B63_23g197,15.7363405,1.2585505,8.523299101428508e-56,1.3058546553298617e-51
60,trypomast_0,C4B63_8g2646c,15.676711,1.8078468,2.182657988447469e-55,3.3440503041003674e-51
61,trypomast_0,C4B63_75g438c,15.516787,1.2974586,2.670956400557674e-54,4.092172301294412e-50
62,trypomast_0,C4B63_23g1229c,15.202561,0.96420544,3.4006149355949166e-52,5.210082142824972e-48
63,trypomast_0,C4B63_207g16,15.118954,1.0946147,1.214577809240784e-51,1.8608546615378052e-47
64,trypomast_0,C4B63_295g27,14.617977,1.0360104,2.1571359025723855e-48,3.304947916331152e-44
