"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tb11.v5.1061",0,6.66625317957,0.762,0.036,0
"Tb927.10.2010",4.46972239287554e-280,4.96233463263242,0.954,0.227,3.99950759714504e-276
"RPS12",3.34073392016037e-191,4.90833613704237,0.499,0.046,2.9892887117595e-187
"Tb927.6.3490",2.6360989982083e-170,1.59617463384705,1,0.993,2.35878138359679e-166
"Tb11.v5.0632",9.01681119862942e-134,1.50289620914666,0.997,1,8.06824266053361e-130
"Tb927.11.9980",1.21705022111048e-129,2.90773172086703,0.794,0.352,1.08901653784966e-125
"COIII",5.28156873468719e-119,1.49917315800154,0.986,0.99,4.7259477037981e-115
"Tb927.6.4280",1.82471033948447e-117,-0.994850276608564,0.937,1,1.6327508117707e-113
"Tb927.5.810",2.92804003209162e-116,1.19981603433112,0.983,0.989,2.62001022071558e-112
"MURF4",4.48575702601458e-103,2.39209155381091,0.854,0.607,4.01385538687785e-99
"Tb927.9.10770",6.24822248465417e-96,0.814228139094573,0.989,1,5.59090947926856e-92
"Tb927.10.7090",1.06259571040192e-95,2.20217266220275,0.842,0.604,9.50810641667642e-92
"Tb927.9.7470",1.22762213306023e-93,1.18047453027028,0.963,0.981,1.0984762846623e-89
"Tb927.3.3270",2.56640475048768e-92,-1.49731049127099,0.473,0.971,2.29641897073638e-88
"Tb927.11.500",7.47881607565138e-87,0.707581057862674,0.997,1,6.69204462449286e-83
"Tb927.9.12570",3.23076122183731e-82,-1.03328390100403,0.802,0.996,2.89088514130002e-78
"ND7",2.23205512158715e-81,1.34330259433161,0.957,0.979,1.99724292279618e-77
"Tb927.11.4700",9.61276991876339e-78,-1.05105915319117,0.777,0.99,8.60150652330948e-74
"Tb927.8.3530",2.96219140457583e-75,-1.02051468327549,0.739,0.99,2.65056886881445e-71
"Tb927.11.2690",6.21211811975677e-75,1.41904533169051,0.894,0.862,5.55860329355836e-71
"Tb927.7.5940",3.01746051372698e-72,1.14349162768029,0.948,0.948,2.7000236676829e-68
"Tb927.11.9730",4.65577293858142e-71,1.1966684821898,0.926,0.925,4.16598562544266e-67
"Tb927.3.5050",2.38039634323119e-67,1.21740771393219,0.917,0.906,2.12997864792327e-63
"Tb11.v5.1035",2.84109707064342e-67,-2.06705609718675,0.166,0.722,2.54221365881173e-63
"Tb927.5.2570",2.21610215785351e-65,-1.58979587703437,0.275,0.808,1.98296821084732e-61
"Tb11.v5.1034",2.85416994660331e-65,-1.62652980686514,0.258,0.817,2.55391126822065e-61
"ND4",4.19412286474764e-65,-1.23563000462078,0.398,0.919,3.75290113937619e-61
