ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
P341-PWY__PK__MetaCyc	glycolysis V (Pyrococcus)	24	6	Tb927.1.1240,Tb927.10.2890,Tb927.10.5620,Tb927.10.6880,Tb927.3.3270,Tb927.6.4280,	25.0	8.58	12.7	3.9287975633e-05	0.0233155932128	0.0284837823339
PWY-6142__PK__MetaCyc	gluconeogenesis II (<i>Methanobacterium thermoautotrophicum</i>)	26	6	Tb927.1.1240,Tb927.10.2890,Tb927.10.5620,Tb927.10.6880,Tb927.3.3270,Tb927.6.4280,	23.1	7.92	11.42	6.43188778284e-05	0.0233155932128	0.0466311864256
PWY-1042__PK__MetaCyc	glycolysis IV (plant cytosol)	28	6	Tb927.1.1240,Tb927.10.2890,Tb927.10.5620,Tb927.10.6880,Tb927.3.3270,Tb927.6.4280,	21.4	7.35	10.36	0.000100731392076	0.0243434197517	0.073030259255
ANAGLYCOLYSIS-PWY__PK__MetaCyc	glycolysis III (from glucose)	32	6	Tb927.1.1240,Tb927.10.2890,Tb927.10.5620,Tb927.10.6880,Tb927.3.3270,Tb927.6.4280,	18.8	6.43	8.74	0.000221937109157	0.0274846705824	0.160904404139
ANAEROFRUCAT-PWY__PK__MetaCyc	homolactic fermentation	32	6	Tb927.1.1240,Tb927.10.2890,Tb927.10.5620,Tb927.10.6880,Tb927.3.3270,Tb927.6.4280,	18.8	6.43	8.74	0.000221937109157	0.0274846705824	0.160904404139
HEXITOLDEGSUPER-PWY__PK__MetaCyc	superpathway of hexitol degradation (bacteria)	33	6	Tb927.1.1240,Tb927.10.2890,Tb927.10.5620,Tb927.10.6880,Tb927.3.3270,Tb927.6.4280,	18.2	6.24	8.42	0.000265369233209	0.0274846705824	0.192392694077
PWY-5484__PK__MetaCyc	glycolysis II (from fructose 6-phosphate)	33	6	Tb927.1.1240,Tb927.10.2890,Tb927.10.5620,Tb927.10.6880,Tb927.3.3270,Tb927.6.4280,	18.2	6.24	8.42	0.000265369233209	0.0274846705824	0.192392694077
GLYCOLYSIS__PK__MetaCyc	glycolysis I (from glucose 6-phosphate)	34	6	Tb927.1.1240,Tb927.10.2890,Tb927.10.5620,Tb927.10.6880,Tb927.3.3270,Tb927.6.4280,	17.6	6.06	8.11	0.000315240141297	0.028568637805	0.22854910244
PWY-8004__PK__MetaCyc	Entner-Doudoroff pathway I	24	5	Tb927.1.1240,Tb927.10.2890,Tb927.10.6880,Tb927.3.3270,Tb927.6.4280,	20.8	7.15	9.76	0.000469286065907	0.036989534514	0.340232397782
P461-PWY__PK__MetaCyc	hexitol fermentation to lactate, formate, ethanol and acetate	37	6	Tb927.1.1240,Tb927.10.2890,Tb927.10.5620,Tb927.10.6880,Tb927.3.3270,Tb927.6.4280,	16.2	5.57	7.31	0.000510200476056	0.036989534514	0.36989534514
GLYCOLYSIS-E-D__PK__MetaCyc	superpathway of glycolysis and the Entner-Doudoroff pathway	38	6	Tb927.1.1240,Tb927.10.2890,Tb927.10.5620,Tb927.10.6880,Tb927.3.3270,Tb927.6.4280,	15.8	5.42	7.08	0.000592711300142	0.0390650629639	0.429715692603
P441-PWY__PK__MetaCyc	superpathway of <i>N</i>-acetylneuraminate degradation	39	6	Tb927.1.1240,Tb927.10.2890,Tb927.10.5620,Tb927.10.6880,Tb927.3.3270,Tb927.6.4280,	15.4	5.28	6.86	0.000685270996825	0.0414017893915	0.496821472698
GLYCOLYSIS-TCA-GLYOX-BYPASS__PK__MetaCyc	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	56	7	Tb927.1.1240,Tb927.10.2890,Tb927.10.5620,Tb927.10.6880,Tb927.3.3270,Tb927.6.4280,Tb927.9.5960,	12.5	4.29	5.47	0.000868253072032	0.0468064318037	0.629483477223
PWY-7218__PK__MetaCyc	photosynthetic 3-hydroxybutanoate biosynthesis (engineered)	41	6	Tb927.1.1240,Tb927.10.2890,Tb927.10.5620,Tb927.10.6880,Tb927.3.3270,Tb927.6.4280,	14.6	5.02	6.46	0.000903848338277	0.0468064318037	0.655290045251
PWY-7345__PK__MetaCyc	superpathway of anaerobic sucrose degradation	44	6	Tb927.1.1240,Tb927.10.2890,Tb927.10.5620,Tb927.10.6880,Tb927.3.3270,Tb927.6.4280,	13.6	4.68	5.93	0.00132856123661	0.0642137931027	0.963206896541
PWY-6901__PK__MetaCyc	superpathway of glucose and xylose degradation	32	5	Tb927.1.1240,Tb927.10.2890,Tb927.10.6880,Tb927.3.3270,Tb927.6.4280,	15.6	5.36	6.83	0.00186790324631	0.0846393658483	1.0
