,RBP?,cluster,phase,meanLogFC,pvalue,p_adjust,Product Description,Input ID,Paralog count,Chromosome,Genomic Location (Gene),Genomic Location (Transcript)
C4B63_101g12,No,middle,19.0359601680727,0.706583433284382,0,0,sterol 24-c-methyltransferase,C4B63_101g12,3,Not Assigned,"PRFA01000101:25,254..26,330(+)",PRFA01000101:25254..26330(+)
C4B63_101g15,No,early,14.7951990207227,0.406752482782022,0,0,"serine peptidase, Clan SC, Family S9B",C4B63_101g15,0,Not Assigned,"PRFA01000101:33,721..36,240(+)",PRFA01000101:33721..36240(+)
C4B63_101g35,No,middle,16.734178185777,0.539400907139348,0,0,delta-4 fatty acid desaturase,C4B63_101g35,0,Not Assigned,"PRFA01000101:66,213..67,487(+)",PRFA01000101:66213..67487(+)
C4B63_101g5,No,middle,16.3859489819102,0.502665505379468,0,0,tyrosine aminotransferase,C4B63_101g5,15,Not Assigned,"PRFA01000101:9,616..10,413(+)",PRFA01000101:9616..10413(+)
C4B63_101g6,No,middle,17.6635727624472,0.433817843940573,0,0,tyrosine aminotransferase,C4B63_101g6,15,Not Assigned,"PRFA01000101:10,926..11,792(+)",PRFA01000101:10926..11792(+)
C4B63_106g1,No,middle,21.8646339419333,2.78502214786911,0,0,"cysteine peptidase, Clan CA, family C51",C4B63_106g1,3,Not Assigned,"PRFA01000106:832..1,335(+)",PRFA01000106:832..1335(+)
C4B63_106g40,No,late,38.706648565724,1.41419562211616,0,0,conserved hypothetical protein,C4B63_106g40,1,Not Assigned,"PRFA01000106:93,249..99,542(+)",PRFA01000106:93249..99542(+)
C4B63_10g103,No,late,32.3946402590873,1.10602189582485,0,0,Hercynine oxygenase,C4B63_10g103,0,Not Assigned,"PRFA01000010:318,996..321,254(+)",PRFA01000010:318996..321254(+)
C4B63_10g111,No,early,14.4529849603599,0.393068001846496,0,0,conserved hypothetical protein,C4B63_10g111,0,Not Assigned,"PRFA01000010:334,184..336,031(+)",PRFA01000010:334184..336031(+)
C4B63_10g129,No,middle,26.1277194077113,0.473156439874711,0,0,tryparedoxin 2,C4B63_10g129,0,Not Assigned,"PRFA01000010:366,656..367,237(+)",PRFA01000010:366656..367237(+)
C4B63_10g136,No,middle,23.7985496792453,0.370325108314837,0,0,conserved hypothetical protein,C4B63_10g136,0,Not Assigned,"PRFA01000010:378,606..379,829(+)",PRFA01000010:378606..379829(+)
C4B63_10g145,No,late,29.9022202346711,0.377466989090346,0,0,lipase,C4B63_10g145,2,Not Assigned,"PRFA01000010:393,942..397,376(+)",PRFA01000010:393942..397376(+)
C4B63_10g148,No,middle,25.9155463902544,0.888344160989252,0,0,carnitine/choline acetyltransferase,C4B63_10g148,1,Not Assigned,"PRFA01000010:401,434..402,417(+)",PRFA01000010:401434..402417(+)
C4B63_10g166,No,middle,19.8795327131062,0.375393320592334,0,0,conserved hypothetical protein,C4B63_10g166,1,Not Assigned,"PRFA01000010:429,542..430,756(+)",PRFA01000010:429542..430756(+)
C4B63_10g167,No,early,13.0577854722183,0.877313540732936,0,0,conserved hypothetical protein,C4B63_10g167,0,Not Assigned,"PRFA01000010:431,733..435,218(+)",PRFA01000010:431733..435218(+)
C4B63_10g1811c,No,middle,21.086076364068,0.593967414280359,0,0,cofilin/actin depolymerizing factor,C4B63_10g1811c,0,Not Assigned,"PRFA01000010:167,596..168,012(-)",PRFA01000010:167596..168012(-)
C4B63_10g303,No,middle,22.2466761434121,0.193887870161427,0,0,transmembrane/endomembrane-like protein,C4B63_10g303,2,Not Assigned,"PRFA01000010:538,035..539,978(-)",PRFA01000010:538035..539978(-)
C4B63_10g311,No,middle,18.9751871819249,0.432245862328573,0,0,Nodulin-like,C4B63_10g311,0,Not Assigned,"PRFA01000010:521,165..522,919(-)",PRFA01000010:521165..522919(-)
C4B63_10g318,No,early,12.4554930793173,0.862898954287407,0,0,sigma-adaptin 3,C4B63_10g318,32,Not Assigned,"PRFA01000010:505,812..506,315(-)",PRFA01000010:505812..506315(-)
C4B63_10g404,No,middle,18.9120840802957,0.564195554704371,0,0,guanine deaminase,C4B63_10g404,1,Not Assigned,"PRFA01000010:288,270..289,628(-)",PRFA01000010:288270..289628(-)
C4B63_10g406,No,middle,19.9202393558822,0.380952914044938,0,0,High mobility group protein TDP1,C4B63_10g406,0,Not Assigned,"PRFA01000010:283,466..284,278(-)",PRFA01000010:283466..284278(-)
C4B63_10g439,No,early,11.4422493343823,1.15659107269443,0,0,heat shock protein 90,C4B63_10g439,16,Not Assigned,"PRFA01000010:226,099..228,387(-)",PRFA01000010:226099..228387(-)
C4B63_10g440,No,middle,21.9916138823708,0.52105508298894,0,0,U3 small nucleolar ribonucleoprotein protein MPP10,C4B63_10g440,0,Not Assigned,"PRFA01000010:223,514..225,376(-)",PRFA01000010:223514..225376(-)
C4B63_10g455,No,middle,17.4084405050417,0.493905826896491,0,0,ABC transporter,C4B63_10g455,10,Not Assigned,"PRFA01000010:194,132..196,315(-)",PRFA01000010:194132..196315(-)
